Exact Match,FishStatNameID,Taxon Key,FishStatName,FishStatTaxaName,CommonName,Matching Name,Fixed,Notes,Group,Order,Species,Genus,Totalmt,Capture,Aquaculture,Trade,Canada
1,299,600425,Black drum,Black drum,Black drum,Black drum,,,,,,,144877,1,0,0,0
1,300,601209,Black grouper,Black grouper,Black grouper,Black grouper,,,,,,,229,1,0,0,0
1,301,600217,Black marlin,Black marlin,Black marlin,Black marlin,,,,,,,340212,1,0,0,0
1,302,605531,Black musselcracker,Black musselcracker,Black musselcracker,Black musselcracker,,,,,,,46,1,0,0,0
1,303,612962,Black oreo,Black oreo,Black oreo,Black oreo,,,,,,,54281,1,0,0,0
1,304,601947,Black pomfret,Black pomfret,Black pomfret,Black pomfret,,,,,,,1863065,1,0,0,0
1,305,604702,Black rockcod,Black rockcod,Black rockcod,Black rockcod,,,,,,,11,1,0,0,0
1,306,603979,Black rockfish,Black rockfish,Black rockfish,Black rockfish,,,,,,,1456,1,0,0,0
1,307,600646,Black scabbardfish,Black scabbardfish,Black scabbardfish,Black scabbardfish,,,,,,,269916,1,0,0,0
1,308,601758,Black scorpionfish,Black scorpionfish,Black scorpionfish,Black scorpionfish,,,,,,,47,1,0,0,0
1,309,600361,Black seabass,Black seabass,Black seabass,Black seabass,,,,,,,164925,1,1,0,0
1,310,601356,Black seabream,Black seabream,Black seabream,Black seabream,,,,,,,238037,1,0,0,0
1,311,600098,Black skipjack,Black skipjack,Black skipjack,Black skipjack,,,,,,,48629,1,0,0,1
1,312,690047,Black stone crab,Black stone crab,Black stone crab,Black stone crab,,,,,,,116201,1,0,0,0
0,313,,Black teatfish,Black teatfish,Black teatfish,Black teatfish,-1,Holothuria nobilis,,,,,145,1,0,0,0
1,314,601962,Blackbanded trevally,Blackbanded trevally,Blackbanded trevally,Blackbanded trevally,,,,,,,95085,1,0,0,0
1,315,605094,Blackbellied angler,Blackbellied angler,Blackbellied angler,Blackbellied angler,,,,,,,334,1,0,0,0
1,316,600076,Blackbelly rosefish,Blackbelly rosefish,Blackbelly rosefish,Blackbelly rosefish,,,,,,,187486,1,0,0,0
0,317,,Blackchin guitarfish,Blackchin guitarfish,Blackchin guitarfish,Blackchin guitarfish,-1,Glaucostelus cemiculus,,,,,326,1,0,0,0
0,318,,Blackchin tilapia,Blackchin tilapia,Blackchin tilapia,Blackchin tilapia,-1,Sarotherodon melanotheron,,,,,187.1,0,1,0,0
1,319,601078,Blackfin goosefish,Blackfin goosefish,Blackfin goosefish,Blackfin goosefish,,,,,,,45771,1,0,0,0
1,320,600473,Blackfin icefish,Blackfin icefish,Blackfin icefish,Blackfin icefish,,,,,,,12628,1,0,0,0
0,321,,Blackfin snapper,Blackfin snapper,Blackfin snapper,Blackfin snapper,-1,Lutjanus buccanella,,,,,90,1,0,0,0
1,322,600144,Blackfin tuna,Blackfin tuna,Blackfin tuna,Blackfin tuna,,,,,,,147106,1,0,0,0
1,323,606531,Blackhead seabream,Blackhead seabream,Blackhead seabream,Blackhead seabream,,,,,,,64341.1,1,1,0,0
1,324,690049,Blacklip abalone,Blacklip abalone,Blacklip abalone,Blacklip abalone,,,,,,,253709.4,1,1,0,0
0,325,690048,Blacklip pearl oyster,Blacklip pearl oyster,Blacklip pearl oyster,Pacific pearl-oyster,1,,,,,,29573.53,0,1,0,0
1,326,600807,Blackmouth catshark,Blackmouth catshark,Blackmouth catshark,Blackmouth catshark,,,,,,,3309,1,0,0,0
1,327,600941,Blackmouth croaker,Blackmouth croaker,Blackmouth croaker,Blackmouth croaker,,,,,,,228412,1,0,0,0
1,328,600357,Blackmouth splitfin,Blackmouth splitfin,Blackmouth splitfin,Blackmouth splitfin,,,,,,,88756,1,0,0,0
0,329,,Blacknose shark,Blacknose shark,Blacknose shark,Blacknose shark,-1,Carcharhinus acronotus,,,,,27,1,0,0,0
1,330,600890,Blackspot(=red) seabream,Blackspot(=red) seabream,Blackspot seabream,Blackspot seabream,,,,,,,374975.09,1,1,0,0
0,331,607703,Blackspotted rubberlip,Blackspotted rubberlip,Blackspotted rubberlip,Blackspotted rubberlips,1,,,,,,4182,1,0,0,0
0,332,605889,Black-streaked monocle bream,Black-streaked monocle bream,Black-streaked monocle bream,Blackstreaked monocle bream,1,,,,,,5316,1,0,0,0
0,333,,Blacktail comber,Blacktail comber,Blacktail comber,Blacktail comber,-1,Serranus atricauda,,,,,71,1,0,0,0
1,334,605348,Blacktip grouper,Blacktip grouper,Blacktip grouper,Blacktip grouper,,,,,,,50,1,0,0,0
1,335,600874,Blacktip shark,Blacktip shark,Blacktip shark,Blacktip shark,,,,,,,3176,1,0,0,0
0,336,601616,Bloch's gizzard shad,Bloch's gizzard shad,Bloch's gizzard shad,Blochs gizzard shad,1,,,,,,1672,1,0,0,0
1,337,604552,Blonde ray,Blonde ray,Blonde ray,Blonde ray,,,,,,,9579,1,0,0,0
0,338,690649,Blood ark,Blood ark,Blood ark,Oval blood ark,1,,,,,,730,1,0,0,0
0,339,690050,Blood cockle,Blood cockle,Blood cockle,Granular ark,1,,,,,,8733070,1,1,0,0
1,340,604887,Blotched picarel,Blotched picarel,Blotched picarel,Blotched picarel,,,,,,,11861,1,0,0,0
1,341,690051,Blue and red shrimp,Blue and red shrimp,Blue and red shrimp,Blue and red shrimp,,,,,,,71234,1,0,0,0
1,342,602005,Blue antimora,Blue antimora,Blue antimora,Blue antimora,,,,,,,1477,1,0,0,0
1,343,601198,Blue butterfish,Blue butterfish,Blue butterfish,Blue butterfish,,,,,,,129064,1,0,0,0
1,344,690052,Blue crab,Blue crab,Blue crab,Blue crab,,,,,,,5208593,1,0,0,0
1,345,601825,Blue grenadier,Blue grenadier,Blue grenadier,Blue grenadier,,,,,,,6026164,1,0,0,0
1,346,601279,Blue jack mackerel,Blue jack mackerel,Blue jack mackerel,Blue jack mackerel,,,,,,,55405,1,0,0,0
1,347,690622,Blue king crab,Blue king crab,Blue king crab,Blue king crab,,,,,,,81554,1,0,0,0
1,348,601383,Blue ling,Blue ling,Blue ling,Blue ling,,,,,,,760276,1,0,0,0
1,349,600116,Blue mackerel,Blue mackerel,Blue mackerel,Blue mackerel,,,,,,,274705,1,0,0,0
0,350,600116,"Blue mackerel, frozen","Blue mackerel, frozen","Blue mackerel, frozen",Blue mackerel,1,,,,,,344907,0,0,1,0
1,351,600216,Blue marlin,Blue marlin,Blue marlin,Blue marlin,,,,,,,1736817,1,0,0,0
1,352,690665,Blue mud shrimp,Blue mud shrimp,Blue mud shrimp,Blue mud shrimp,,,,,,,31,1,0,0,0
1,353,690053,Blue mussel,Blue mussel,Blue mussel,Blue mussel,,,,,,,14411961.51,1,1,0,1
1,354,601933,Blue runner,Blue runner,Blue runner,Blue runner,,,,,,,95391,1,0,0,0
